"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.212227012E0,-9.696754813E-1,-1.486569405E0,-5.020027161E-1,1.844496099E0
2.229116549E0,2.478530169E0,1.276093483E0,2.479092407E1,2.494717304E1
2.246048790E0,1.268507719E0,-2.696996689E0,2.506418526E-2,2.980525321E0
2.262987664E0,2.051527977E0,-3.524908066E0,6.049548984E-1,4.123070984E0
2.279934248E0,2.666652918E0,-4.003459930E0,9.937528372E-1,4.911850354E0
2.296826979E0,2.618953943E0,-3.784624100E0,1.175127745E0,4.750076268E0
2.313778783E0,-5.759350657E-1,-6.132421494E-1,-5.939538956E0,5.998824063E0
2.330711521E0,3.110588789E-1,-1.636442184E0,1.632649899E-1,1.673725218E0
2.347649449E0,1.271395326E0,-1.562154770E0,8.024302721E-1,2.168102382E0
2.364587530E0,-1.635627747E-1,4.053659439E-1,2.047789395E-1,4.827097925E-1
2.381524643E0,-6.265914440E-1,8.148107529E-1,3.980535567E-1,1.102261328E0
2.398509253E0,-1.430043578E-1,3.602628708E-1,-6.613114476E-1,7.665327215E-1
2.415437751E0,-5.512952805E-2,4.117650986E-1,-1.167265296E0,1.238990731E0
2.432370653E0,-5.467068553E-1,1.011262894E0,-4.196707010E-1,1.223791046E0
2.449337694E0,-5.758403540E-1,1.373831749E0,3.320918381E-1,1.526201421E0
2.466251320E0,-3.790750206E-1,1.472302437E0,6.731881499E-1,1.662694988E0
2.483189136E0,-2.057836056E-1,1.515736580E0,6.072666645E-1,1.645775524E0
2.500142088E0,-2.675608993E-1,2.048851013E0,7.093008757E-1,2.184602262E0
2.517064788E0,3.220378160E-1,1.994924068E0,1.633371711E-1,2.027340481E0
2.534043945E0,-2.670219541E-1,2.517390251E0,-1.008063555E0,2.724838808E0
2.550936890E0,1.982468367E-1,2.728575706E0,-4.633698463E-1,2.774732205E0
2.567859426E0,-4.741268754E-1,3.440462589E0,-1.131500125E0,3.652652687E0
2.584815360E0,-8.641917109E-1,3.880280972E0,-1.041111350E0,4.109418520E0
2.601716025E0,-5.498751998E-1,3.761906624E0,-8.924568892E-1,3.905225151E0
2.618686860E0,-2.850624323E-1,3.442449570E0,-1.223187447E0,3.664410888E0
2.635618054E0,-6.419754028E-1,3.833845139E0,-1.044349909E0,4.025067415E0
2.652561292E0,-8.975042105E-1,4.135273457E0,-5.944525003E-1,4.273098892E0
2.669489006E0,-7.031167746E-1,4.083478451E0,-8.438992500E-2,4.144428925E0
2.686435011E0,-2.079799175E-1,3.588330269E0,-9.545838833E-2,3.595619845E0
2.703368473E0,-4.496454000E-1,3.771845818E0,-2.418860197E-1,3.806246275E0
2.720313379E0,-1.614099741E-1,3.923915386E0,-5.330271721E-1,3.963241489E0
2.737216710E0,-5.288131237E-1,4.226755619E0,-1.220057607E0,4.430987130E0
2.754170710E0,-3.479332924E-1,4.704390526E0,-8.240418434E-1,4.788673382E0
2.771109553E0,-2.758768797E-1,4.404245853E0,-1.035229921E0,4.532680287E0
2.788032914E0,-8.190761805E-1,4.757134438E0,-1.094462991E0,4.949652825E0
2.804967372E0,-5.849832892E-1,4.342946529E0,-5.997753739E-1,4.423021649E0
2.821908871E0,-5.628670454E-1,4.079444885E0,-7.379983664E-1,4.183698301E0
2.838846849E0,-3.333125710E-1,3.825526237E0,-1.045379162E0,3.979769573E0
2.855784218E0,-4.675517976E-1,3.810483456E0,-4.585857391E-1,3.866353544E0
2.872722318E0,-3.009010553E-1,3.627518654E0,-2.565472126E-1,3.649006646E0
2.889685259E0,-1.983722448E-1,3.674818516E0,-5.482982397E-1,3.720789383E0
2.906635588E0,-7.845443487E-2,3.551705837E0,-6.481701136E-1,3.611217793E0
2.923551645E0,7.651233673E-2,3.223531723E0,-6.120589972E-1,3.282015710E0
2.940489613E0,-2.373455763E-1,3.228658199E0,-1.511470437E0,3.572829351E0
2.957427440E0,5.718874931E-2,2.767040730E0,-1.357013702E0,3.082413201E0
2.974381349E0,2.736988068E-1,2.279875278E0,-1.216878653E0,2.598756621E0
2.991310171E0,-5.732768774E-2,2.105467796E0,-1.254281044E0,2.451428572E0
3.008256827E0,-3.507001996E-1,1.999777794E0,-4.266514778E-1,2.074640532E0
3.025224052E0,-4.055030346E-1,1.686825752E0,-2.927403450E-1,1.759406360E0
3.042134909E0,2.021926641E-2,9.497356415E-1,-4.666689634E-1,1.058388647E0
3.059049929E0,-1.237866879E-1,7.719602585E-1,-5.571019650E-2,7.838044468E-1
3.075986199E0,5.205094814E-2,2.217903137E-1,2.163131237E-1,3.141522114E-1
3.092932173E0,1.575313807E-1,-1.079216003E-1,8.210706711E-2,2.078575911E-1
3.109866214E0,3.591856360E-1,-3.639783859E-1,-1.888298392E-1,5.451158544E-1
3.126803420E0,3.581063747E-1,-6.292095184E-1,-9.941375256E-2,7.307721176E-1
3.143741826E0,-3.610372543E-2,-3.799877167E-1,-8.002504110E-1,8.866199096E-1
3.160708582E0,2.323297262E-1,-1.149033546E0,-6.635493040E-1,1.347053403E0
3.177640102E0,4.613751769E-1,-1.635890007E0,-3.011440337E-1,1.726178119E0
3.194577744E0,2.800291777E-1,-2.062574387E0,-2.978752553E-1,2.102702810E0
3.211516354E0,8.743220568E-2,-2.242594719E0,6.360981464E-1,2.332701506E0
3.228453386E0,-1.519430280E-1,-2.215181351E0,7.668564320E-1,2.349081499E0
3.245392260E0,3.042991161E-1,-2.933783531E0,3.383888006E-1,2.968870280E0
3.262329373E0,3.113866448E-1,-3.029070854E0,4.881737232E-1,3.083917228E0
3.279221260E0,5.696768165E-1,-3.138296127E0,4.134906530E-1,3.216272497E0
3.296168394E0,3.607117534E-1,-3.086999893E0,7.340878248E-2,3.108869595E0
3.313097186E0,5.040277243E-1,-3.420720100E0,-2.496097684E-1,3.466651841E0
3.330043598E0,4.420015216E-1,-3.470305443E0,-2.127767801E-1,3.504805154E0
3.346981913E0,-1.316369772E-1,-3.201930046E0,-4.268618226E-1,3.232939116E0
3.363919566E0,2.571501136E-1,-3.780910492E0,-7.307386398E-2,3.790349604E0
3.380882772E0,6.748045087E-1,-4.356264114E0,5.593754649E-1,4.443568281E0
3.397826723E0,5.459145308E-1,-4.538822174E0,6.104788780E-1,4.612115985E0
3.414775260E0,8.933073282E-1,-4.939940453E0,1.433079720E0,5.220606013E0
3.431704347E0,8.028748035E-1,-4.894770622E0,1.385262847E0,5.149984519E0
3.448650016E0,8.710280657E-1,-4.992839813E0,4.434849918E-1,5.087614198E0
3.465578819E0,7.133327127E-1,-4.720244408E0,4.656310081E-1,4.796494873E0
3.482497327E0,9.549810886E-1,-4.515289307E0,2.233063281E-1,4.620572705E0
3.499436150E0,4.158713222E-1,-3.638126373E0,3.642558306E-2,3.661999357E0
3.516374200E0,3.806462586E-1,-3.464650154E0,-1.192852706E-1,3.487537991E0
3.533311283E0,3.371173143E-1,-3.035252571E0,3.579664230E-2,3.054126332E0
3.550249557E0,1.541040778E0,-3.242272377E0,3.016468620E1,3.037754813E1
3.567187383E0,3.846143186E-1,-3.399264336E0,-2.789092660E-1,3.432304849E0
3.584154841E0,9.479979277E-1,-4.049180984E0,3.083291352E-1,4.170087957E0
3.601086645E0,8.198941946E-1,-3.930408478E0,5.877814889E-1,4.057810293E0
3.618024369E0,9.943025708E-1,-3.652202606E0,1.145720005E0,3.954730814E0
3.634942115E0,7.006214261E-1,-3.187417984E0,9.591716528E-1,3.401545832E0
3.651898780E0,6.632263660E-1,-2.883003235E0,1.678269804E-1,2.963063071E0
3.668815875E0,3.152331710E-1,-2.078043938E0,2.754915655E-1,2.119795783E0
3.685775501E0,5.637673140E-1,-1.918568611E0,3.449067175E-1,2.029211606E0
3.702692228E0,1.273785830E-1,-1.332441330E0,3.242319524E-1,1.377226038E0
